Age,Date,A,B,C,D,E
42,1972-02-29,,169.9,376.3,284.0,404.5
20,2004-02-20,,514.6,,1212.8,
44,2017-10-15,,,,,1252.0
49,1986-01-21,485.9,,,,
63,1989-10-30,,,856.0,871.9,
29,2012-05-22,1090.5,,1385.3,,1088.7
65,2008-08-14,,,,1474.0,
42,2004-02-04,946.4,558.8,,,
39,1997-11-24,829.1,503.0,1018.8,,
33,1981-04-24,,,565.2,515.2,585.6
65,1991-07-03,,,,,745.4
54,2004-05-18,872.2,560.2,,,885.1
62,2010-05-13,1073.6,582.4,,1581.8,
19,1985-12-17,,370.7,685.2,,709.8
27,2008-06-01,,,,1291.7,1006.6
44,2012-09-26,1072.2,,,,
20,1987-11-19,471.7,,723.8,,
16,1977-05-25,,229.1,521.3,,487.0
26,2008-04-02,912.2,,,1313.5,1025.6
22,2001-08-19,,531.1,,,
38,2015-12-19,,629.7,,,1154.0
44,2002-05-24,,564.7,1270.1,1282.7,
41,2020-11-16,,,,,1082.9
61,1973-03-24,186.9,172.9,370.3,,416.3
53,1971-07-23,141.2,175.6,,,
20,1987-09-20,,,818.2,,
35,1994-05-11,,,,,794.2
58,1989-06-16,,,,826.7,667.7
30,1984-11-01,,,704.1,,
35,1994-12-29,,,1018.8,,787.4
22,2002-08-03,824.8,511.9,,,
18,1999-06-25,,542.8,1077.4,,776.4
65,2020-09-19,,,1695.0,,1276.9
58,1977-10-25,,,467.7,420.6,
46,2002-10-15,,,,,1004.2
44,1997-01-17,,,,1017.8,
43,1997-07-28,731.5,,1020.6,,831.7
54,1980-05-12,377.3,,527.3,489.7,
28,2015-09-06,1253.1,695.5,,,1125.0
47,1981-05-26,,280.6,595.5,590.6,577.6
66,2014-04-23,,,,,1115.5
38,2000-06-22,,527.0,1130.1,1240.2,
64,1991-08-24,561.8,402.0,,794.3,
44,1972-01-02,139.3,187.6,,254.5,
40,1977-09-02,,231.0,480.7,,
50,2020-05-28,,681.4,,,1281.0
53,1975-05-14,,225.3,475.7,,493.9
47,1972-06-01,157.3,171.8,390.9,,409.1
27,2000-03-27,866.1,481.0,,1089.7,924.0
34,1970-10-25,128.4,,347.3,223.2,
20,1996-08-04,764.3,467.6,,,
36,2011-10-26,1072.3,,1427.0,,1077.7
23,1982-12-14,434.5,,,602.2,648.0
34,1993-02-15,668.2,,980.1,,
50,2000-08-09,,551.1,,1073.0,
24,1981-01-12,,270.7,,580.3,621.0
47,2020-01-11,1197.3,808.4,,,
35,1996-02-16,,434.4,,,780.2
48,1995-05-23,642.1,428.5,1070.6,980.9,
66,2008-02-15,1039.6,,,1429.7,
58,2009-01-28,,585.2,1350.9,,1083.8
40,2003-08-17,846.9,549.4,1289.8,1362.6,
65,1981-11-01,381.2,297.6,594.3,,
39,1993-03-22,,,,925.6,
41,2009-04-04,,,,1557.7,
54,2008-08-27,1028.4,,,1328.6,1022.5
35,2000-03-05,,522.5,,,
20,2011-08-13,1151.7,686.1,1360.0,,1139.8
20,2011-06-02,1007.9,648.2,1409.2,,
35,1993-03-02,699.0,426.1,,949.5,
39,2002-03-29,,536.2,1234.4,1278.8,
64,2019-11-04,1194.9,668.8,,1667.0,1193.9
57,1989-12-12,,,,760.4,689.6
